cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
4918,"Corpus Domini al Nomentano","8 Via Nomentana 00161 Roma","Carlo Busiri Vici, Verhaegen","Virginio Monti, Eugenio Cisterna",1886&ndash;1889,,,"18 June 1889","Jesus Christ in the Eucharist","Roman Catholic","Body of the Lord",,,,"06 44 23 06 06",,"Convent church",
3291,"Corpus Domini alla Garbatella","Via delle Sette Chiese 91",,,"1950's",,,,"Jesus Christ (Corpus Christi)","Roman Catholic","Body of the Lord at Garbatella",,,,,,,
3375,"Cristo Re a Morena",,,,1986,,,,"Jesus Christ","Roman Catholic","Christ the King at Morena",,,,,,,
4795,"Cristo Re delle Suore Francescane della Beata Angelina","Via Giorgio Bolognetti 4",,,"20th century",,,,"Jesus Christ","Roman Catholic","Christ the King of the Franciscan Sisters of Blessed Angelina",,,,,,,
3006,"Dio Padre Misericordioso","Largo Terzo Millennio 8-9",,,2003,,,,"God the Father","Roman Catholic","God the Merciful Father",,,,,,,
4890,"Divino Amore delle Religiose dell'Assunzione","Via Alessandro Viviani 24",,,"20th century",,,,"Holy Spirit","Roman Catholic","Divine Love of the Religious of the Assumption",,,,,,,
1974,"Domine Quo Vadis","Via Appia Antica",,,1637,,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","Chapel of ""Domine Quo Vadis""",,,,,,,
4648,"Gesù Adolescente a Via Prenestina","Via Prenestina 468",,,,,,,"Jesus (as a boy at Nazareth)","Roman Catholic","Boy Jesus at Prenestina Way",,,,,,,
4955,"Gesù Bambino a Sacco Pastore","Via Campi Flegrei 40",,,1959,,,,"Jesus (as a Child)","Roman Catholic","Baby Jesus at the Shepherds Purse",,,,,,,
1993,"Gesù Buon Pastore alla Montagnola","Via Luigi Perna 3 00142 Roma","Carlo Bodini",,1950-59,,"Society of St Paul","18 March 1859","Jesus Christ the Good Shepherd","Roman Catholic","Jesus the Good Shepherd at Montagnola",,,,"06 54 01 387","Velasio de Paolis","Parish and titular church",
3222,"Gesù Divin Salvatore","Via Romolo Gigliozzi 31",,,1992,,,,"Jesus Christ","Roman Catholic","Jesus the Divine Saviour",,,,,,,
4395,"Gesù Divino Lavoratore","Via Oderisi da Gubbio 16",,,1960,,,,"Jesus Christ the Worker","Roman Catholic","Jesus the Divine Worker",,,,,,,
4755,"Gesù Divino Maestro","Via Vittorio Montiglio 18",,,1967,,,,"Christ the Divine Master","Roman Catholic","Jesus the Divine Master",,,,,,,http://www.vicariatusurbis.org/Ente.asp?ID
4587,"Gesù Nazareno all'Argentina","Via dei Barbieri 22/A",,,1724,,,,"Jesus of Nazareth",Catholic,"Jesus the Nazarene at the Argentina",,,,,,,
4643,"Gesù Risorto","Cimitero Laurentino, Via Laurentina Km 13.5",,,2012,,,,"Jesus Christ","Roman Catholic","Jesus Risen",,,,,,,
3034,"Gesù di Nazareth","Via Igino Giordani 5",,,1988,,,,"Jesus of Nazareth (the hidden years of his life)",Catholic,"Jesus of Nazareth",,,,,,,
1513,"Gesù e Maria","45 Via del Corso","Carlo Maderno, Girolamo Rainaldi","Giacinto Brandi",,,,,"The Holy Names of Jesus and Blessed Virgin Mary","Roman Catholic","Jesus and Mary",,,,,,,
4515,"Gesù, Maria e Giuseppe","Via del Babuino 153",,,"17th century",,,,"Holy Family","Roman Catholic","Jesus, Mary and Joseph",,,,,,Demolished,
1507,"Gran Madre di Dio","1 Via Cassia 00191 Roma","Cesare Bazzani, Clemente Busiri Vici",,1933&ndash;1937,,,1937,"Blessed Virgin Mary","Roman Catholic","Great Mother of God",,,No,"06 33 39 340",Yes,"Parish church",
1991,"Il Gesù","16 Via degli Astalli / Piazza del Gesù  00186 Roma","Vignola, Giacomo della Porta",,1568&ndash;1584,,"Society of Jesus",1584,"The name of Jesus Christ","Roman Catholic","Most Holy Name of Jesus",,,,06-69.70.01,"Eduardo Martinez Somalo",,
4973,"Immacolata Concezione a Piana del Sole","Via Cristoforo Sabbadino 73",,,"20th century",,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","Immaculate Conception at the Plain of the Sun",,,,,,,
4974,"Immacolata Concezione d'Ivrea","Via di Val Cannuta 200",,,1973,,,,"Blessed Virgin Mary","Roman Catholic","Immaculate Conception of Ivrea",,,,,,,
4052,"Immacolata Concezione dell'Asilo Pio XII","Via Pietro Ottoboni 9",,,1945,,,,?,"Roman Catholic","Immaculate Conception of the Pius XII Shelter",,,,,,Deconsecrated,
